"seqnames"	"starts"	"ends"	"names"	"scores"	"strands"	"pvalue..log10"	"fold_enrichment"	"qvalue..log10"	"V.30.SUMO"	"ICI.30.SUMO"	"ICI.180.SUMO"
"94"	"chr1"	7506720	7508943	"peak_call/ICI_30_peak_55"	6317	"*"	637.13568	58.19272	631.79382	0	1	0
"95"	"chr8"	69764907	69767821	"peak_call/ICI_30_peak_10741"	6211	"*"	626.50696	61.51337	621.18176	1	1	1
"96"	"chr1"	112055406	112057345	"peak_call/ICI_30_peak_454"	6201	"*"	625.44031	64.77815	620.11664	0	1	0
"97"	"chr21"	41695605	41698261	"peak_call/ICI_30_peak_7225"	6183	"*"	623.63519	38.20377	618.3139	0	0	0
"98"	"chr6"	125474650	125477124	"peak_call/ICI_30_peak_9723"	6144	"*"	619.763	60.38165	614.44824	0	1	0
"99"	"chr21"	16581599	16583694	"peak_call/ICI_30_peak_7129"	6112	"*"	616.5954	61.39542	611.28485	0	1	0
"100"	"chr14"	65584276	65586287	"peak_call/ICI_30_peak_3166"	6084	"*"	613.72729	42.16697	608.42133	0	0	0
"101"	"chr2"	20270419	20273038	"peak_call/ICI_30_peak_5796"	6076	"*"	612.93872	51.85962	607.63385	0	1	0
"102"	"chr3"	156529521	156531621	"peak_call/ICI_30_peak_8026"	6059	"*"	611.27264	49.42412	605.97113	0	1	0
"103"	"chr5"	139022397	139024333	"peak_call/ICI_30_peak_9048"	6055	"*"	610.86096	62.09159	605.5603	0	1	1
"104"	"chr14"	91742367	91744452	"peak_call/ICI_30_peak_3337"	5951	"*"	600.44202	41.4841	595.15802	0	0	0
"105"	"chr5"	66529989	66532980	"peak_call/ICI_30_peak_8818"	5901	"*"	595.42206	55.25111	590.14612	0	0	0
"106"	"chr17"	39691328	39693581	"peak_call/ICI_30_peak_4628"	5888	"*"	594.14325	60.77671	588.86865	0	0	0
"107"	"chr5"	139087547	139090490	"peak_call/ICI_30_peak_9053"	5827	"*"	588.0105	52.37236	582.74451	1	1	1
"108"	"chr2"	238466356	238468635	"peak_call/ICI_30_peak_6601"	5827	"*"	587.9848	61.75819	582.71893	0	1	1
"109"	"chr16"	4418569	4419843	"peak_call/ICI_30_peak_3982"	5808	"*"	586.12305	61.60719	580.85962	0	1	0
"110"	"chr9"	130306786	130308584	"peak_call/ICI_30_peak_11480"	5800	"*"	585.35223	57.14841	580.08984	0	0	0
"111"	"chr10"	95194388	95195759	"peak_call/ICI_30_peak_1436"	5788	"*"	584.10376	58.28322	578.84387	0	1	0
"112"	"chr17"	80060473	80062921	"peak_call/ICI_30_peak_5064"	5759	"*"	581.19891	59.75403	575.94287	0	0	0
"113"	"chr14"	74221917	74224925	"peak_call/ICI_30_peak_3247"	5690	"*"	574.28217	49.35762	569.03815	0	0	0
"114"	"chr7"	93180392	93182731	"peak_call/ICI_30_peak_10261"	5681	"*"	573.40417	47.41364	568.16132	0	1	0
"115"	"chr11"	69705296	69708257	"peak_call/ICI_30_peak_1934"	5591	"*"	564.39447	45.15163	559.16455	0	1	1
"116"	"chr17"	80846015	80848581	"peak_call/ICI_30_peak_5075"	5586	"*"	563.86505	59.79522	558.6355	0	1	0
"117"	"chr1"	10009952	10012300	"peak_call/ICI_30_peak_78"	5549	"*"	560.17059	59.49322	554.94672	0	1	0
"118"	"chr3"	15333620	15335438	"peak_call/ICI_30_peak_7604"	5509	"*"	556.16376	46.89336	550.94647	0	1	0
"119"	"chr8"	68292645	68294006	"peak_call/ICI_30_peak_10736"	5439	"*"	549.13831	54.42057	543.93109	0	0	0
"120"	"chr9"	130783837	130785620	"peak_call/ICI_30_peak_11494"	5437	"*"	548.90887	51.92581	543.70306	0	1	0
"121"	"chr9"	126089523	126091088	"peak_call/ICI_30_peak_11440"	5424	"*"	547.68011	55.47439	542.47516	0	0	0
"122"	"chr17"	61829298	61831099	"peak_call/ICI_30_peak_4840"	5400	"*"	545.23938	25.5377	540.03864	0	0	0
"123"	"chr12"	2904126	2906198	"peak_call/ICI_30_peak_2169"	5384	"*"	543.6004	58.13424	538.40186	0	0	0
"124"	"chr8"	116878333	116880946	"peak_call/ICI_30_peak_10897"	5372	"*"	542.48425	51.9268	537.28748	0	0	0
"125"	"chr17"	58644403	58646318	"peak_call/ICI_30_peak_4790"	5354	"*"	540.64026	11.09925	535.44611	0	0	0
"126"	"chr16"	75062967	75065062	"peak_call/ICI_30_peak_4227"	5331	"*"	538.3053	42.44634	533.11432	0	1	0
"127"	"chr12"	116931902	116934496	"peak_call/ICI_30_peak_2596"	5320	"*"	537.21832	56.24768	532.0296	0	0	0
"128"	"chr12"	89857642	89860058	"peak_call/ICI_30_peak_2465"	5300	"*"	535.2099	48.76047	530.02472	0	0	0
"129"	"chr9"	94913287	94915189	"peak_call/ICI_30_peak_11297"	5295	"*"	534.77295	48.65205	529.58856	1	1	1
"130"	"chr17"	73544744	73546385	"peak_call/ICI_30_peak_4965"	5289	"*"	534.1015	33.68608	528.91895	0	1	0
"131"	"chr12"	6472315	6474069	"peak_call/ICI_30_peak_2188"	5255	"*"	530.77545	57.07725	525.59772	0	1	0
"132"	"chr20"	19110307	19112085	"peak_call/ICI_30_peak_6688"	5245	"*"	529.68524	52.99771	524.50977	0	0	0
"133"	"chr11"	65779367	65781386	"peak_call/ICI_30_peak_1849"	5203	"*"	525.51434	54.75661	520.34625	1	1	1
"134"	"chr10"	127312593	127314397	"peak_call/ICI_30_peak_1590"	5164	"*"	521.64911	56.32226	516.48798	0	1	0
"135"	"chr10"	117423177	117425365	"peak_call/ICI_30_peak_1532"	5092	"*"	514.3689	55.71827	509.21948	0	0	0
"136"	"chr4"	139830950	139833692	"peak_call/ICI_30_peak_8537"	5085	"*"	513.664	54.34841	508.51611	0	1	0
"137"	"chr6"	42089406	42091141	"peak_call/ICI_30_peak_9499"	5074	"*"	512.55176	55.56727	507.40512	0	0	0
"138"	"chr17"	76416112	76418538	"peak_call/ICI_30_peak_5021"	5066	"*"	511.83762	45.4975	506.69272	1	1	1
"139"	"chr11"	78770184	78772223	"peak_call/ICI_30_peak_2018"	5039	"*"	509.09109	51.93375	503.9501	0	1	1
"140"	"chr8"	86852512	86854084	"peak_call/ICI_30_peak_10764"	5031	"*"	508.26544	33.25528	503.1264	0	0	0
"141"	"chr2"	191650130	191652538	"peak_call/ICI_30_peak_6380"	4965	"*"	501.67407	54.66128	496.54507	1	1	0
"142"	"chr2"	113348307	113349903	"peak_call/ICI_30_peak_6144"	4947	"*"	499.86533	54.51028	494.73959	0	0	0
"143"	"chr6"	121507999	121510158	"peak_call/ICI_30_peak_9707"	4947	"*"	499.86533	54.51028	494.73959	0	0	0
"144"	"chrX"	16679450	16681567	"peak_call/ICI_30_peak_11744"	4947	"*"	499.86533	54.51028	494.73959	0	0	0
"145"	"chr14"	69036360	69037482	"peak_call/ICI_30_peak_3200"	4883	"*"	493.4151	42.349	488.3006	0	0	0
"146"	"chr7"	80571308	80573327	"peak_call/ICI_30_peak_10227"	4880	"*"	493.13239	46.98749	488.01822	1	1	0
"147"	"chr11"	76482605	76484356	"peak_call/ICI_30_peak_2000"	4865	"*"	491.63165	46.92152	486.52017	0	0	0
"148"	"chr10"	8767198	8769028	"peak_call/ICI_30_peak_1058"	4850	"*"	490.14236	41.34994	485.03406	0	0	0
"149"	"chr12"	26253612	26255507	"peak_call/ICI_30_peak_2239"	4849	"*"	490.04666	53.13239	484.9386	0	0	0
"150"	"chr11"	65185250	65188151	"peak_call/ICI_30_peak_1835"	4799	"*"	485.06448	49.51044	479.96524	0	0	0
"151"	"chr7"	80505576	80507136	"peak_call/ICI_30_peak_10222"	4797	"*"	484.88284	43.4438	479.784	0	0	0
"152"	"chr17"	75282155	75285648	"peak_call/ICI_30_peak_5009"	4767	"*"	481.84412	53.00031	476.74997	0	1	0
"153"	"chr2"	241008656	241010479	"peak_call/ICI_30_peak_6613"	4731	"*"	478.25455	52.69831	473.1665	0	1	0
"154"	"chr2"	38301995	38304549	"peak_call/ICI_30_peak_5858"	4731	"*"	478.25455	52.69831	473.1665	1	1	1
"155"	"chr8"	128871323	128872844	"peak_call/ICI_30_peak_10970"	4709	"*"	476.07178	26.82598	470.98889	1	1	1
"156"	"chr9"	77715310	77716772	"peak_call/ICI_30_peak_11202"	4678	"*"	472.87958	52.24532	467.8017	0	0	0
"157"	"chr19"	35490730	35492420	"peak_call/ICI_30_peak_5502"	4674	"*"	472.47824	50.98816	467.40164	0	1	0
"158"	"chr20"	52743419	52744151	"peak_call/ICI_30_peak_6984"	4650	"*"	470.11105	8.32612	465.03864	0	0	0
"159"	"chr2"	11670632	11673856	"peak_call/ICI_30_peak_5760"	4607	"*"	465.78857	48.01012	460.72354	0	1	0
"160"	"chr3"	127802709	127804039	"peak_call/ICI_30_peak_7926"	4606	"*"	465.73047	51.64132	460.66571	0	0	0
"161"	"chr1"	162128376	162131013	"peak_call/ICI_30_peak_623"	4588	"*"	463.94632	51.49033	458.8847	0	0	0
"162"	"chr20"	58637178	58639398	"peak_call/ICI_30_peak_7037"	4571	"*"	462.23474	24.81901	457.17572	0	1	0
"163"	"chr16"	72962512	72964398	"peak_call/ICI_30_peak_4218"	4568	"*"	461.85971	37.54577	456.802	0	1	1
"164"	"chr20"	35213777	35216709	"peak_call/ICI_30_peak_6781"	4535	"*"	458.60156	51.03733	453.54965	0	0	0
"165"	"chr8"	22595716	22597729	"peak_call/ICI_30_peak_10611"	4517	"*"	456.8226	50.88633	451.77423	0	0	0
"166"	"chr20"	51961997	51963735	"peak_call/ICI_30_peak_6962"	4496	"*"	454.69928	43.16209	449.65512	1	1	1
"167"	"chr9"	91143991	91146131	"peak_call/ICI_30_peak_11266"	4495	"*"	454.63254	41.39671	449.58862	0	0	0
"168"	"chr14"	90978318	90979443	"peak_call/ICI_30_peak_3330"	4488	"*"	453.84409	43.86156	448.80099	0	0	0
"169"	"chr11"	117928005	117929654	"peak_call/ICI_30_peak_2102"	4478	"*"	452.86133	30.22635	447.82034	0	0	0
"170"	"chr17"	38731631	38733587	"peak_call/ICI_30_peak_4615"	4446	"*"	449.71951	50.28234	444.6832	0	0	0
"171"	"chr1"	7019111	7021026	"peak_call/ICI_30_peak_50"	4393	"*"	444.40588	49.82935	439.37897	0	1	0
"172"	"chr20"	55309691	55310861	"peak_call/ICI_30_peak_6996"	4375	"*"	442.59573	26.52359	437.57343	1	0	1
"173"	"chr21"	43785846	43787975	"peak_call/ICI_30_peak_7258"	4356	"*"	440.62186	31.20702	435.60281	1	1	1
"174"	"chr9"	130808845	130810533	"peak_call/ICI_30_peak_11496"	4311	"*"	436.12326	47.7529	431.11148	0	0	0
"175"	"chr7"	101646765	101648359	"peak_call/ICI_30_peak_10320"	4306	"*"	435.6972	41.13165	430.68619	0	0	0
"176"	"chr20"	19263557	19265217	"peak_call/ICI_30_peak_6691"	4291	"*"	434.19849	43.48467	429.18991	0	0	0
"177"	"chr17"	55911307	55912225	"peak_call/ICI_30_peak_4745"	4281	"*"	433.18265	20.81971	428.17645	0	0	0
"178"	"chr12"	75264584	75266632	"peak_call/ICI_30_peak_2434"	4280	"*"	433.06284	35.13178	428.05679	0	0	0
"179"	"chr16"	14463424	14464920	"peak_call/ICI_30_peak_4024"	4270	"*"	432.05356	48.77236	427.04913	0	0	0
"180"	"chr20"	46011184	46012071	"peak_call/ICI_30_peak_6856"	4261	"*"	431.16931	8.56331	426.16684	0	0	0
"181"	"chr17"	60836870	60838128	"peak_call/ICI_30_peak_4822"	4235	"*"	428.55191	20.08136	423.55411	0	1	0
"182"	"chr20"	43393675	43395111	"peak_call/ICI_30_peak_6819"	4224	"*"	427.41498	42.97308	422.4201	0	1	0
"183"	"chr12"	97961427	97963861	"peak_call/ICI_30_peak_2500"	4215	"*"	426.57007	46.42856	421.57739	1	1	1
"184"	"chr3"	61613056	61614688	"peak_call/ICI_30_peak_7759"	4211	"*"	426.13678	15.50715	421.14487	0	0	0
"185"	"chr7"	99601128	99602525	"peak_call/ICI_30_peak_10287"	4207	"*"	425.72232	42.84519	420.73096	0	0	0
"186"	"chr20"	30627920	30629798	"peak_call/ICI_30_peak_6751"	4200	"*"	425.02451	48.16837	420.03452	0	0	0
"187"	"chr1"	145725815	145727519	"peak_call/ICI_30_peak_525"	4195	"*"	424.55878	32.3967	419.57037	0	1	1
"188"	"chr12"	125214530	125216058	"peak_call/ICI_30_peak_2697"	4182	"*"	423.27063	48.01737	418.28421	0	1	0
"189"	"chr19"	49056433	49058590	"peak_call/ICI_30_peak_5647"	4169	"*"	421.91379	36.34655	416.93042	1	1	1
"190"	"chr17"	58422232	58423094	"peak_call/ICI_30_peak_4786"	4112	"*"	416.20847	8.69091	411.23718	0	0	0
"191"	"chr1"	17846546	17847813	"peak_call/ICI_30_peak_133"	4112	"*"	416.2688	47.41338	411.29657	0	0	0
"192"	"chr9"	131060384	131062719	"peak_call/ICI_30_peak_11499"	4112	"*"	416.2688	47.41338	411.29657	1	1	0
"193"	"chr11"	64643749	64645503	"peak_call/ICI_30_peak_1826"	4090	"*"	413.98969	43.91835	409.02252	0	0	0
"194"	"chr19"	38811672	38813122	"peak_call/ICI_30_peak_5532"	4066	"*"	411.63321	42.94218	406.67023	0	0	0
"195"	"chr3"	193596280	193598555	"peak_call/ICI_30_peak_8187"	4066	"*"	411.62466	38.4398	406.66177	0	0	0
"196"	"chr17"	47964116	47966405	"peak_call/ICI_30_peak_4683"	4063	"*"	411.31802	46.30727	406.35532	0	0	0
"197"	"chr9"	129404168	129406964	"peak_call/ICI_30_peak_11467"	4062	"*"	411.22458	42.50811	406.26215	0	0	0
"198"	"chr10"	99330921	99332558	"peak_call/ICI_30_peak_1452"	4059	"*"	410.91522	39.97155	405.95428	0	0	0
"199"	"chr6"	17389172	17390874	"peak_call/ICI_30_peak_9361"	4049	"*"	409.93829	42.80924	404.97894	1	1	0
"200"	"chr16"	85779438	85780999	"peak_call/ICI_30_peak_4333"	4021	"*"	407.08832	31.15575	402.1347	1	1	1
"201"	"chr20"	61027306	61028530	"peak_call/ICI_30_peak_7061"	4011	"*"	406.09174	33.05028	401.1395	0	0	0
"202"	"chr17"	59433822	59434587	"peak_call/ICI_30_peak_4797"	3999	"*"	404.94604	7.2728	399.99646	1	1	0
"203"	"chr7"	116764121	116765430	"peak_call/ICI_30_peak_10381"	3979	"*"	402.93442	39.73664	397.98834	0	0	0
"204"	"chr15"	89658253	89659814	"peak_call/ICI_30_peak_3807"	3976	"*"	402.64096	39.36956	397.69519	0	0	0
"205"	"chr2"	70842811	70844852	"peak_call/ICI_30_peak_5984"	3970	"*"	401.95651	46.09269	397.01285	0	0	0
"206"	"chr11"	69068634	69070131	"peak_call/ICI_30_peak_1920"	3935	"*"	398.48486	42.63644	393.54764	0	1	1
"207"	"chr17"	55162325	55163736	"peak_call/ICI_30_peak_4731"	3930	"*"	397.96875	28.42875	393.03238	1	1	0
"208"	"chr20"	48899792	48901936	"peak_call/ICI_30_peak_6928"	3929	"*"	397.90112	22.79471	392.96497	0	0	0
"209"	"chr9"	4865832	4867277	"peak_call/ICI_30_peak_11097"	3921	"*"	397.12851	45.7524	392.19333	0	0	0
"210"	"chr16"	86226546	86229100	"peak_call/ICI_30_peak_4338"	3914	"*"	396.36975	40.16041	391.43665	0	0	0
"211"	"chr10"	104469618	104471464	"peak_call/ICI_30_peak_1480"	3904	"*"	395.39691	45.6014	390.46512	0	0	0
